Programm 1:
UDP endpoint is (192.168.188.22, 65274)
Token: seq=0, #members=1 (192.168.188.22, 57937)
Token: seq=1, #members=2 (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=3, #members=2 (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=0, #members=1 (192.168.188.22, 61969)
Token: seq=5, #members=2 (192.168.188.22, 57937) (192.168.188.22, 65274)
Token: seq=53, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=56, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=59, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=62, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=65, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=68, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=71, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=74, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=77, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=80, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
Token: seq=83, #members=3 (192.168.188.22, 57937) (192.168.188.22, 65274) (192.168.188.22, 61969)
